13	0.588425	0.200833	0.00233513
13	0.591094	0.191791	0.00227169
13	0.593772	0.183277	0.00215247
7	0.595158	0.111905	0.0158058
13	0.596432	0.175053	0.00209712
13	0.599101	0.166711	0.00197818
13	0.601766	0.159406	0.00192522
2.76	0.601996	0.171169	0.0435542
2.76	0.602249	0.157727	0.0204514
13	0.604426	0.152052	0.0018593
13	0.607081	0.144831	0.00180681
13	0.609746	0.137842	0.00168853
7	0.61209	0.0721882	0.0108311
13	0.612392	0.132366	0.00168853
13	0.615048	0.126261	0.00157043
13	0.617699	0.119766	0.00152202
13	0.62036	0.114485	0.00145253
13	0.623002	0.108785	0.00142369
2.76	0.623167	0.104463	0.013788
13	0.625654	0.103764	0.00137685
2.76	0.628119	0.0956531	0.0233798
13	0.628288	0.0988797	0.00133009
7	0.630312	0.063064	0.0100732
13	0.630931	0.0940569	0.001286
13	0.633584	0.0897857	0.00123949
13	0.636218	0.0854909	0.00119746
7	0.637763	0.0604073	0.0221369
13	0.638862	0.0809592	0.00115834
13	0.641488	0.0771458	0.00111638
2.76	0.643837	0.0639365	0.00895686
13	0.644124	0.0734612	0.00107756
7	0.646271	0.0468015	0.0172192
13	0.646769	0.0694199	0.00104307
13	0.649396	0.0666339	0.00100868
13	0.652033	0.0629921	0.000974388
2.76	0.653826	0.0654469	0.0174708
13	0.654652	0.0601917	0.000944108
7	0.654737	0.042159	0.0155768
8	0.656724	0.0546049	0.0136866
13	0.65728	0.0570978	0.000909969
13	0.659905	0.0543706	0.000879741
13	0.662538	0.0514091	0.000845785
7	0.66316	0.0357721	0.0132633
2.76	0.664273	0.0479272	0.00740633
13	0.665155	0.0487353	0.000823236
13	0.66778	0.0464829	0.000793117
13	0.670402	0.0438788	0.000770691
7	0.671542	0.0311563	0.011598
8	0.672328	0.0387163	0.0103739
13	0.67302	0.041824	0.000740649
13	0.675634	0.0395304	0.000721786
13	0.678257	0.0376107	0.000702925
7	0.679884	0.0248526	0.000697729
13	0.680876	0.0353476	0.000672929
13	0.683491	0.0337414	0.000654075
2.76	0.684447	0.0361468	0.00639769
13	0.686103	0.031989	0.000635223
8	0.687914	0.0293989	0.007933
13	0.68871	0.0301745	0.000616373
7	0.689369	0.0209641	0.00786566
13	0.691327	0.028812	0.000597524
13	0.693927	0.0272431	0.000578677
13	0.696536	0.0257589	0.000556576
7	0.698803	0.0169709	0.00639472
13	0.699142	0.0243037	0.000537752
13	0.701757	0.0232068	0.000526771
8	0.703364	0.022092	0.00618948
2.76	0.704354	0.020792	0.00468716
13	0.704355	0.0220764	0.000507965
13	0.706962	0.0207011	0.000486169
7	0.708188	0.014384	0.00544556
13	0.709566	0.0195729	0.000475345
13	0.712166	0.0185775	0.000456607
13	0.714762	0.0174572	0.000437881
13	0.717368	0.0166629	0.000427169
7	0.718689	0.0119875	0.00456085
8	0.718802	0.0134857	0.00462032
13	0.719957	0.0157854	0.000414035
13	0.722555	0.0149066	0.000395456
2.76	0.724024	0.0160597	0.00426615
13	0.725215	0.0140334	0.000376906
13	0.728	0.0131855	0.000350244
7	0.729131	0.00904096	0.00345856
13	0.730949	0.0124024	0.000331744
13	0.734074	0.0113888	0.000303114
8	0.734231	0.0102001	0.00366138
13	0.7374	0.0108176	0.000286678
7	0.740666	0.00811513	0.00312313
13	0.740939	0.0099306	0.000262131
2.76	0.743529	0.0105218	0.00331696
13	0.744728	0.00929103	0.00024367
13	0.748791	0.00854143	0.000227326
8	0.749653	0.00845922	0.00313833
7	0.752131	0.00685117	0.00265157
13	0.753191	0.00793388	0.000222893
13	0.75795	0.00730662	0.000262674
2.76	0.762942	0.00800465	0.00283965
13	0.763156	0.0068075	0.000362544
7	0.764665	0.00579115	0.00225376
8	0.765069	0.00568852	0.0025281
13	0.768867	0.00626896	0.000539407
13	0.775181	0.00578984	0.000798178
7	0.777119	0.00521955	0.00204423
8	0.780365	0.0055414	0.00235375
13	0.782193	0.00543448	0.00103883
2.76	0.782289	0.00493369	0.00199921
13	0.789946	0.00514325	0.000720403
7	0.790618	0.00505586	0.00189637
8	0.79566	0.00421735	0.00209222
13	0.798481	0.00489752	0.000260768
2.76	0.801481	0.00427922	0.00181581
7	0.804029	0.00479823	0.00179086
13	0.807702	0.00481538	0.00029489
8	0.810955	0.00348177	0.00200504
13	0.817452	0.00488936	0.000321487
7	0.818459	0.0043125	0.0016816
2.76	0.820776	0.00463162	0.00163324
8	0.826252	0.00370244	0.00200504
13	0.827489	0.00502724	0.000376528
7	0.83389	0.00452451	0.00175749
13	0.837614	0.00520922	0.000448813
2.76	0.839406	0.00659503	0.00299407
13	0.84768	0.0053948	0.000475495
7	0.84812	0.00495388	0.00191926
8	0.848939	0.00446254	0.00174352
2.76	0.857555	0.00860878	0.00445861
13	0.857566	0.00566169	0.000469916
7	0.863342	0.00490021	0.0018923
13	0.867251	0.00595335	0.000409186
13	0.876713	0.00622218	0.000328831
7	0.87846	0.00557379	0.00214501
8	0.878901	0.00573756	0.00200504
2.76	0.884467	0.00745087	0.00263352
13	0.885956	0.00651211	0.000263757
7	0.893478	0.00613197	0.00234918
13	0.894995	0.00676202	0.000227169
13	0.903855	0.00700648	0.000239093
7	0.908399	0.00596827	0.00227954
13	0.912563	0.0072635	0.000245419
2.76	0.919635	0.00614194	0.00290361
13	0.921121	0.00754502	0.000256774
8	0.922143	0.00703709	0.00200504
7	0.922169	0.0065023	0.00247572
13	0.929554	0.00767996	0.00026871
7	0.93691	0.00661501	0.00250983
13	0.937887	0.00784334	0.000280647
13	0.946121	0.00802332	0.000274873
7	0.951561	0.00736105	0.00278135
13	0.954292	0.00816396	0.000263757
13	0.962402	0.00816257	0.000258434
7	0.966126	0.00665258	0.00250421
13	0.970473	0.00827663	0.000260084
8	0.976809	0.0064241	0.0021794
13	0.978519	0.00832915	0.000255242
7	0.980605	0.00673846	0.00252795
13	0.98655	0.00846075	0.000255242
13	0.994591	0.00843514	0.000250592
7	0.996028	0.00733958	0.00274236
13	1.00264	0.00853191	0.000250592
7	1.01034	0.00711684	0.0026513
13	1.01073	0.00846278	0.000250592
13	1.01887	0.00845246	0.000246144
7	1.02457	0.00694241	0.0025784
13	1.02708	0.008467	0.000246144
8	1.02907	0.00760104	0.00226657
13	1.03537	0.00835993	0.000246144
7	1.03873	0.00672236	0.00248654
13	1.04377	0.00839332	0.000241909
13	1.05229	0.00823619	0.000241909
7	1.05381	0.00698535	0.00257546
13	1.06095	0.00813037	0.000234579
7	1.06782	0.00645936	0.00237359
13	1.06976	0.00799706	0.000234579
13	1.07875	0.00788311	0.00023044
8	1.08255	0.00701257	0.00209222
7	1.08274	0.00621516	0.00227613
13	1.08794	0.00778542	0.000223053
13	1.09734	0.00758664	0.000223053
7	1.09759	0.00572675	0.0020911
13	1.10699	0.00741687	0.000211573
7	1.11236	0.00579384	0.00210684
13	1.11692	0.00733819	0.000211573
7	1.12705	0.00508001	0.00184065
13	1.12713	0.00722011	0.000204201
13	1.13769	0.00696657	0.000200146
8	1.14221	0.00546784	0.00183069
7	1.14264	0.00491631	0.00177337
13	1.14859	0.00679572	0.000192707
7	1.15815	0.00438228	0.00157659
13	1.15991	0.00650441	0.000185355
13	1.17167	0.00630477	0.000181272
7	1.17454	0.00440643	0.0015763
13	1.18391	0.00609037	0.000173845
7	1.19084	0.00454866	0.00161928
8	1.19413	0.00448706	0.00183069
13	1.19672	0.00585193	0.000162398
7	1.20611	0.00379457	0.00134812
13	1.21014	0.00560899	0.000162398
7	1.22319	0.00377042	0.00133151
13	1.22426	0.00532491	0.000151027
13	1.23917	0.00505366	0.000143525
7	1.23924	0.00378384	0.00133182
13	1.25499	0.00474482	0.000132149
7	1.25615	0.00319882	0.00112142
13	1.27184	0.00454195	0.000124655
7	1.2739	0.00328738	0.00114541
13	1.28994	0.00417202	0.00011327
7	1.29248	0.00303512	0.00105417
13	1.30953	0.0038444	0.00011327
7	1.31003	0.00269431	0.000930671
7	1.32842	0.0023441	0.000806611
13	1.33096	0.00352837	0.000102013
8	1.34206	0.0015187	0.000627855
7	1.34761	0.0021109	0.000722793
13	1.35473	0.00317826	9.44E-05
7	1.3667	0.00218255	0.000742522
13	1.38157	0.00282387	7.55E-05
7	1.38659	0.00193191	0.000653943
7	1.40727	0.00174459	0.000587377
13	1.41255	0.00243275	6.87E-05
7	1.42872	0.00136513	0.000457643
13	1.44931	0.00204946	5.77E-05
7	1.45004	0.00141183	0.000469755
7	1.47301	0.00133132	0.00044005
13	1.49446	0.00164805	4.63E-05
7	1.49671	0.00113354	0.00037231
7	1.52201	0.000912415	0.000297993
7	1.54715	0.000875919	0.000283784
13	1.55319	0.00123665	3.47E-05
7	1.5747	0.000723223	0.000232838
7	1.60292	0.000593875	0.000189944
13	1.62456	0.000844575	2.72E-05
7	1.63264	0.000536447	0.000170055
7	1.66467	0.000438228	0.000137884
7	1.6973	0.000394754	0.000110529
13	1.70165	0.0005709	2.11E-05
7	1.73052	0.000286069	8.87E-05
7	1.76759	0.000225662	6.93E-05
13	1.78485	0.000364363	1.61E-05
7	1.80924	0.00020057	6.09E-05
7	1.85214	0.000149529	4.51E-05
13	1.87462	0.000222292	1.20E-05
7	1.89785	0.000124518	3.93E-05
7	1.94867	9.90E-05	2.92E-05
13	1.97145	0.000127958	8.80E-06
7	2.00679	5.80E-05	1.75E-05
7	2.06968	5.14E-05	1.52E-05
13	2.07588	7.11E-05	6.45E-06
7	2.14021	3.38E-05	1.02E-05
13	2.18854	3.84E-05	4.53E-06
7	2.22263	1.57E-05	5.18E-06
13	2.30977	1.88E-05	3.07E-06
7	2.32605	1.11E-05	3.66E-06
13	2.43995	1.04E-05	2.21E-06
7	2.45088	5.64E-06	2.51E-06
13	2.57956	4.30E-06	1.38E-06
13	2.73078	1.80E-06	8.80E-07
13	2.89543	6.98E-07	5.34E-07
13	3.06796	4.15E-07	2.23E-07
13	3.25531	9.01E-08	4.94E-08
